Shipment_ID,timestamp,driver_id,vehicle_id,route_id,supplier_id,shipping_costs,delivery_time_deviation,iot_temperature,order_fulfillment_status
100001,2026-01-11 23:15:00,DRV_00044,VEH_00078,RTE_00005,SUP_00010,1715.34,28.58,16.8,2.0
100002,2026-01-01 14:20:00,DRV_00049,VEH_00075,RTE_00017,SUP_00003,6798.04,7.08,3.2,1.0
100003,2026-02-23 08:20:00,DRV_00017,VEH_00009,RTE_00010,SUP_00009,11893.39,67.96,15.1,1.0
100004,2026-02-08 02:46:00,DRV_00010,VEH_00016,RTE_00028,SUP_00012,6060.97,54.05,-1.5,3.0
100005,2026-01-05 08:25:00,DRV_00049,VEH_00069,RTE_00021,SUP_00484,18725.68,15.66,13.5,1.0
100006,2026-02-27 05:06:00,DRV_00047,VEH_00061,RTE_00018,SUP_00014,23020.6,40.49,1.4,2.0
100007,2026-01-26 19:54:00,DRV_00012,VEH_00010,RTE_00007,SUP_00001,10882.37,50.55,14.4,2.0
100008,2026-03-02 18:18:00,DRV_00016,VEH_00050,RTE_00003,SUP_00018,8882.25,67.48,13.4,1.0
100009,2026-01-31 15:31:00,DRV_00024,VEH_00003,RTE_00013,SUP_00017,24057.99,62.89,9.9,2.0
100010,2026-02-11 20:23:00,DRV_00019,VEH_00077,RTE_00015,SUP_00009,11398.88,34.67,4.7,3.0
100011,2026-01-12 03:03:00,DRV_00008,VEH_00070,RTE_00020,SUP_00009,12481.69,54.65,3.3,3.0
100012,2026-01-29 12:50:00,DRV_00031,VEH_00051,RTE_00019,SUP_00484,9115.42,38.29,0.4,1.0
100013,2026-02-16 16:21:00,DRV_00021,VEH_00019,RTE_00003,SUP_00010,22783.94,37.56,8.2,1.0
100014,2026-02-15 00:20:00,DRV_00017,VEH_00042,RTE_00004,SUP_00019,14439.41,3.84,9.7,3.0
100015,2026-01-01 12:49:00,DRV_00023,VEH_00035,RTE_00005,SUP_00015,19173.28,4.71,18.6,2.0
100016,2026-02-11 11:35:00,DRV_00037,VEH_00046,RTE_00001,SUP_00005,20389.26,35.77,7.5,1.0
100017,2026-02-13 17:15:00,DRV_00016,VEH_00026,RTE_00004,SUP_00015,8875.3,15.7,5.3,1.0
100018,2026-02-15 02:05:00,DRV_00006,VEH_00069,RTE_00012,SUP_00726,11125.51,16.88,10.8,2.0
100019,2026-02-17 04:49:00,DRV_00008,VEH_00064,RTE_00028,SUP_00484,21287.56,50.66,18.6,1.0
100020,2026-01-04 16:31:00,DRV_00025,VEH_00037,RTE_00027,SUP_00002,9399.76,-2.5,18.6,2.0
100021,2026-02-27 17:04:00,DRV_00018,VEH_00049,RTE_00024,SUP_00013,19951.41,40.84,5.6,2.0
100022,2026-02-07 07:07:00,DRV_00025,VEH_00021,RTE_00010,SUP_00101,23554.31,36.52,0.8,2.0
100023,2026-03-01 05:45:00,DRV_00012,VEH_00074,RTE_00023,SUP_00016,15768.65,69.6,10.5,2.0
100024,2026-01-20 22:13:00,DRV_00015,VEH_00064,RTE_00025,SUP_00015,18669.87,32.28,12.6,2.0
100025,2026-02-19 22:52:00,DRV_00026,VEH_00005,RTE_00021,SUP_00010,20224.88,-0.1,18.6,3.0
100026,2026-03-06 14:16:00,DRV_00041,VEH_00070,RTE_00029,SUP_00014,21203.47,37.48,3.6,2.0
100027,2026-01-18 19:38:00,DRV_00045,VEH_00004,RTE_00727,SUP_00010,10178.81,59.76,17.0,3.0
100028,2026-02-28 15:58:00,DRV_00026,VEH_00039,RTE_00026,SUP_00014,1755.95,71.76,-0.7,2.0
100029,2026-01-13 19:11:00,DRV_00047,VEH_00035,RTE_00020,SUP_00484,10345.97,28.14,10.1,1.0
100030,2026-01-02 21:47:00,DRV_00032,VEH_00001,RTE_00024,SUP_00009,17007.03,19.66,-0.9,3.0
100031,2026-02-11 01:50:00,DRV_00010,VEH_00024,RTE_00025,SUP_00014,11533.58,64.81,15.9,1.0
100032,2026-02-15 15:25:00,DRV_00016,VEH_00057,RTE_00013,SUP_00003,18849.6,9.73,8.6,2.0
100033,2026-02-28 18:54:00,DRV_00007,VEH_00070,RTE_00023,SUP_00726,9246.07,26.97,11.4,2.0
100034,2026-01-25 20:13:00,DRV_00017,VEH_00041,RTE_00014,SUP_00016,16051.23,26.24,14.6,1.0
100035,2026-02-16 19:55:00,DRV_00023,VEH_00054,RTE_00052,SUP_00002,5067.29,-1.84,1.0,2.0
100036,2026-02-09 12:06:00,DRV_00026,VEH_00046,RTE_00023,SUP_00010,18859.55,21.74,-1.2,1.0
100037,2026-02-16 09:23:00,DRV_00021,VEH_00060,RTE_00052,SUP_00003,13869.55,15.42,15.6,2.0
100038,2026-01-22 21:51:00,DRV_00022,VEH_00060,RTE_00005,SUP_00011,5499.58,47.83,4.3,2.0
100039,2026-01-08 21:54:00,DRV_00007,VEH_00057,RTE_00004,SUP_00011,7651.82,68.06,0.6,3.0
100040,2026-02-17 23:32:00,DRV_00014,VEH_00031,RTE_00014,SUP_00548,18840.91,15.4,7.4,1.0
100041,2026-01-03 16:50:00,DRV_00015,VEH_00024,RTE_00010,SUP_00548,12323.73,16.65,10.0,2.0
100042,2026-01-29 21:26:00,DRV_00007,VEH_00036,RTE_00017,SUP_00358,5792.77,-0.74,-1.4,1.0
100043,2026-03-08 20:36:00,DRV_00009,VEH_00030,RTE_00010,SUP_00013,24198.14,36.44,3.5,3.0
100044,2026-02-25 13:58:00,DRV_00048,VEH_00024,RTE_00026,SUP_00007,18020.56,0.43,19.4,1.0
100045,2026-03-02 15:13:00,DRV_00008,VEH_00030,RTE_00007,SUP_00484,23949.8,66.92,6.4,3.0
100046,2026-01-08 09:07:00,DRV_00023,VEH_00007,RTE_00016,SUP_00017,10964.07,54.01,15.9,1.0
100047,2026-01-07 02:32:00,DRV_00029,VEH_00035,RTE_00001,SUP_00002,12139.96,45.66,17.7,1.0
100048,2026-02-21 08:49:00,DRV_00018,VEH_00055,RTE_00017,SUP_00012,22499.9,58.44,10.7,3.0
100049,2026-01-30 20:41:00,DRV_00031,VEH_00014,RTE_00021,SUP_00010,13363.71,44.86,1.2,2.0
100050,2026-02-23 03:52:00,DRV_00030,VEH_00010,RTE_00029,SUP_00018,17828.33,69.61,16.1,2.0
100051,2026-01-17 14:17:00,DRV_00039,VEH_00016,RTE_00009,SUP_00358,6678.24,49.97,8.3,2.0
100052,2026-02-17 07:48:00,DRV_00035,VEH_00054,RTE_00006,SUP_00011,11444.8,66.2,1.1,1.0
100053,2026-01-17 07:23:00,DRV_00018,VEH_00077,RTE_00019,SUP_00016,3524.52,34.82,16.4,1.0
100054,2026-02-03 17:15:00,DRV_00042,VEH_00070,RTE_00013,SUP_00017,5546.51,4.01,13.1,2.0
100055,2026-01-12 21:59:00,DRV_00039,VEH_00044,RTE_00003,SUP_00019,523.11,35.67,12.6,1.0
100056,2026-02-25 14:37:00,DRV_00017,VEH_00073,RTE_00007,SUP_00018,1461.99,4.77,18.6,1.0
100057,2026-01-25 22:40:00,DRV_00014,VEH_00045,RTE_00022,SUP_00003,24443.45,40.62,2.0,2.0
100058,2026-03-05 22:27:00,DRV_00031,VEH_00056,RTE_00009,SUP_00548,6437.67,41.85,2.2,3.0
100059,2026-02-16 14:41:00,DRV_00024,VEH_00057,RTE_00022,SUP_00016,16751.11,42.94,11.8,1.0
100060,2026-02-18 05:59:00,DRV_00035,VEH_00021,RTE_00005,SUP_00006,21057.94,-4.23,2.4,1.0
100061,2026-03-04 03:15:00,DRV_00044,VEH_00068,RTE_00010,SUP_00012,13991.18,10.0,-1.5,1.0
100062,2026-01-14 12:17:00,DRV_00045,VEH_00050,RTE_00023,SUP_00011,4252.04,32.83,13.6,1.0
100063,2026-02-16 05:17:00,DRV_00034,VEH_00033,RTE_00017,SUP_00015,18338.85,68.19,13.7,3.0
100064,2026-02-23 14:29:00,DRV_00003,VEH_00007,RTE_00012,SUP_00015,15206.16,24.54,7.1,2.0
100065,2026-02-24 19:53:00,DRV_00037,VEH_00070,RTE_00023,SUP_00016,18415.64,27.68,13.8,1.0
100066,2026-02-06 19:15:00,DRV_00043,VEH_00015,RTE_00016,SUP_00010,19358.79,50.03,14.8,2.0
100067,2026-01-29 07:17:00,DRV_00040,VEH_00032,RTE_00003,SUP_00012,24397.55,41.49,11.1,1.0
100068,2026-01-07 17:32:00,DRV_00026,VEH_00075,RTE_01007,SUP_00013,14552.3,18.02,2.6,3.0
100069,2026-02-01 18:38:00,DRV_00023,VEH_00020,RTE_00025,SUP_00004,8870.21,26.63,3.5,2.0
100070,2026-02-20 06:49:00,DRV_00044,VEH_00015,RTE_00727,SUP_00007,16387.38,11.76,18.6,3.0
100071,2026-02-19 10:51:00,DRV_00039,VEH_00048,RTE_00022,SUP_00358,2176.8,69.38,0.3,1.0
100072,2026-02-15 14:57:00,DRV_00015,VEH_00071,RTE_00009,SUP_00002,22486.23,5.06,18.6,3.0
100073,2026-01-26 17:45:00,DRV_00049,VEH_00021,RTE_00029,SUP_00015,3424.83,23.63,2.2,3.0
100074,2026-03-05 22:53:00,DRV_00004,VEH_00042,RTE_00015,SUP_00008,8532.15,-3.01,7.1,1.0
100075,2026-03-10 22:59:00,DRV_00029,VEH_00026,RTE_00005,SUP_00007,20485.76,12.08,16.2,1.0
100076,2026-01-23 15:26:00,DRV_00022,VEH_00014,RTE_00023,SUP_00015,15134.15,55.1,19.4,2.0
100077,2026-01-09 00:14:00,DRV_00025,VEH_00057,RTE_00013,SUP_00484,10144.07,10.49,12.4,1.0
100078,2026-03-07 17:43:00,DRV_00013,VEH_00037,RTE_00052,SUP_00014,12099.17,1.16,11.7,2.0
100079,2026-01-29 01:17:00,DRV_00018,VEH_00058,RTE_00014,SUP_00008,21436.41,31.53,-0.1,3.0
100080,2026-03-05 11:07:00,DRV_00033,VEH_00021,RTE_00020,SUP_00012,8830.11,-4.23,16.5,3.0
100081,2026-01-01 16:56:00,DRV_00016,VEH_00069,RTE_00015,SUP_00013,21806.42,1.53,9.4,2.0
100082,2026-03-04 08:29:00,DRV_00045,VEH_00003,RTE_00016,SUP_00011,2659.29,57.19,5.3,1.0
100083,2026-02-08 14:31:00,DRV_00042,VEH_00037,RTE_00023,SUP_00017,19531.56,54.4,13.1,1.0
100084,2026-03-04 08:52:00,DRV_00044,VEH_00049,RTE_00013,SUP_00017,21264.92,65.47,-1.5,3.0
100085,2026-01-17 03:27:00,DRV_00002,VEH_00019,RTE_00017,SUP_00101,4954.53,60.8,11.9,2.0
100086,2026-01-17 21:00:00,DRV_00035,VEH_00012,RTE_00023,SUP_00004,11043.49,47.6,-1.2,3.0
100087,2026-02-21 10:25:00,DRV_00042,VEH_00061,RTE_00008,SUP_00548,4554.74,32.5,14.8,3.0
100088,2026-02-27 11:58:00,DRV_00034,VEH_00041,RTE_00021,SUP_00008,17811.8,55.28,7.0,1.0
100089,2026-01-07 10:28:00,DRV_00030,VEH_00033,RTE_00002,SUP_00005,13616.02,60.1,19.4,2.0
100090,2026-03-02 06:47:00,DRV_00013,VEH_00050,RTE_00005,SUP_00016,16065.42,56.53,2.4,3.0
100091,2026-01-09 11:05:00,DRV_00013,VEH_00068,RTE_00006,SUP_00004,5313.93,34.15,11.5,1.0
100092,2026-02-14 05:44:00,DRV_00018,VEH_00071,RTE_00012,SUP_00358,5687.77,12.93,13.4,3.0
100093,2026-03-02 06:19:00,DRV_00032,VEH_00033,RTE_00018,SUP_00015,1516.68,60.09,7.5,3.0
100094,2026-01-28 03:39:00,DRV_00032,VEH_00024,RTE_01007,SUP_00012,8390.65,50.99,18.6,1.0
100095,2026-01-06 22:51:00,DRV_00035,VEH_00061,RTE_00022,SUP_00005,14213.74,70.52,7.1,1.0
100096,2026-01-27 10:04:00,DRV_00039,VEH_00061,RTE_00022,SUP_00484,21519.41,6.99,15.9,2.0
100097,2026-02-05 13:34:00,DRV_00046,VEH_00028,RTE_00001,SUP_00016,16839.72,12.38,8.0,3.0
100098,2026-02-12 12:28:00,DRV_00029,VEH_00058,RTE_01007,SUP_00014,11167.21,11.31,19.4,2.0
100099,2026-02-04 00:24:00,DRV_00049,VEH_00043,RTE_00017,SUP_00010,23851.44,56.03,14.0,1.0
100100,2026-01-29 07:34:00,DRV_00029,VEH_00041,RTE_01007,SUP_00007,18121.51,9.39,6.2,1.0
100101,2026-01-02 18:48:00,DRV_00044,VEH_00039,RTE_00011,SUP_00013,23289.05,0.13,19.4,3.0
100102,2026-02-13 11:12:00,DRV_00016,VEH_00049,RTE_00052,SUP_00726,13425.91,17.36,6.1,2.0
100103,2026-02-16 22:03:00,DRV_00044,VEH_00017,RTE_00010,SUP_00005,6843.15,-3.09,14.5,2.0
100104,2026-01-02 20:55:00,DRV_00047,VEH_00070,RTE_00019,SUP_00003,1794.25,59.31,2.6,3.0
100105,2026-02-03 11:10:00,DRV_00010,VEH_00070,RTE_00014,SUP_00015,18289.08,23.13,8.5,3.0
100106,2026-01-04 15:38:00,DRV_00030,VEH_00065,RTE_00026,SUP_00004,3471.92,59.8,14.1,2.0
100107,2026-03-02 18:58:00,DRV_00025,VEH_00074,RTE_00010,SUP_00015,7917.99,37.71,5.1,1.0
100108,2026-01-28 10:24:00,DRV_00039,VEH_00005,RTE_00015,SUP_00014,13545.54,64.43,18.6,1.0
100109,2026-01-24 00:39:00,DRV_00020,VEH_00002,RTE_00028,SUP_00726,14328.21,35.65,2.9,3.0
100110,2026-01-10 17:06:00,DRV_00005,VEH_00022,RTE_00019,SUP_00019,15214.29,-4.3,0.2,2.0
100111,2026-02-12 22:58:00,DRV_00001,VEH_00057,RTE_00004,SUP_00013,4573.26,0.81,13.9,2.0
100112,2026-01-09 19:06:00,DRV_00030,VEH_00066,RTE_00002,SUP_00010,9803.57,14.28,-0.0,2.0
100113,2026-01-27 20:20:00,DRV_00049,VEH_00074,RTE_00009,SUP_00548,15621.26,55.04,3.4,1.0
100114,2026-01-03 11:21:00,DRV_00003,VEH_00016,RTE_00010,SUP_00005,24260.56,63.4,15.1,1.0
100115,2026-01-19 15:34:00,DRV_00045,VEH_00051,RTE_00028,SUP_00484,18326.96,30.42,4.9,2.0
100116,2026-02-14 19:05:00,DRV_00014,VEH_00039,RTE_00011,SUP_00726,23103.79,40.27,17.5,2.0
100117,2026-02-06 06:51:00,DRV_00030,VEH_00076,RTE_00014,SUP_00726,19174.2,31.78,17.6,3.0
